target	pro_main	pro_occ	use	interested	total
JS	29.059829059829063	14.245014245014245	26.21082621082621	7.977207977207977	77.49287749287748
C++	23.36182336182336	12.535612535612536	31.339031339031337	8.547008547008547	75.78347578347578
Flash (SWF)	19.37321937321937	7.977207977207977	19.943019943019944	3.7037037037037033	50.997150997150996
Neko	16.524216524216524	6.267806267806268	20.51282051282051	3.133903133903134	46.438746438746435
Java	8.831908831908832	2.849002849002849	9.401709401709402	2.564102564102564	23.646723646723647
PHP	8.262108262108262	4.5584045584045585	5.413105413105413	1.4245014245014245	19.65811965811966
C#	5.698005698005698	3.133903133903134	7.6923076923076925	2.564102564102564	19.08831908831909
AS3 (source code)	2.849002849002849	2.564102564102564	3.418803418803419	1.7094017094017095	10.541310541310542
Python	2.564102564102564	1.1396011396011396	3.9886039886039883	1.1396011396011396	8.831908831908832
compiler interpeter (--interp / --run)	3.133903133903134	0.2849002849002849	4.5584045584045585	0.0	7.977207977207977
